Graph Name,metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
kron_g500-logn20,418973.3231922026,2341242.6277678665,956410.1343965018,0.0,889873.2581724047,18560483.36106489,25190627.06419688,69151636.60033476
kron_g500-logn21,407298.2409047798,2497830.66286216,0.0,0.0,479821.9238005892,23397823.695708044,27426263.149649944,73717353.84615384
mycielskian18,1990724.439034716,4515407.256249437,0.0,289380.32261941966,103382424.55889627,2635747.473155009,183259342.8007697,170981245.88077545
mycielskian17,0.0,0.0,676769.0718587129,353581.79285046645,0.0,2452675.229986299,196214018.3989039,135178594.3525985
delaunay_n23,4066211.665858782,22529797.672336616,36366739.884393066,13328417.005185025,9982144.160439176,22590470.377019748,198781864.13902053,147452885.68582645
hugebubbles-00000,1879967.218724336,12000909.130624726,22758973.487986743,9768668.164975142,3873963.4322622498,11630008.890770534,184177546.0945357,160822440.1381652
hugebubbles-00010,1957979.1988190296,9620759.643916914,19809751.527494907,8588826.194071367,6574284.381780222,10599260.443152923,193474101.5780401,133058659.37072502
hugebubbles-00020,1665017.49332216,9601382.965871338,21039165.45334216,8882320.119361617,6900752.370967076,10718199.258260284,200391950.3277862,135456044.14333802
rgg_n_2_22_s0,7877321.743642968,38380781.28950696,266308754.3859649,40583907.70793787,7341101.339375312,35097338.7283237,302593421.7083624,273752912.53381425
delaunay_n24,4058345.508788905,24024630.54892601,33984875.75962187,14366296.365011632,10905545.552442675,26644574.37797777,274585930.1691216,185622721.74073392
rgg_n_2_23_s0,7683169.147005444,37820960.69088744,273712900.8620689,51801505.06583134,22979193.610838704,47853348.15373022,432659215.0984533,383023059.2918753
rgg_n_2_24_s0,5695016.32582918,39699670.56004792,269973930.7535642,68768001.66009545,23422938.213097405,57809507.19581334,552920664.0527238,477649178.4375901
cage15,2399466.5510027045,14353585.47008547,39883245.12298558,1556076.0380878758,19915693.30854231,32273401.50995196,305717092.51674145,323823056.26334274
kmer_A2a,221581.9438316449,2911937.107324558,7828936.8187936945,1284922.2885813247,3742606.5638428167,8285124.121134139,124266011.88260756,105708732.61568049
kmer_P1a,329740.2687699424,3259460.9407490096,7462540.315710348,812196.4019340219,3469222.59030952,8209205.733186329,112734960.9744658,104360404.504776
kmer_U1a,535051.9404412161,5287205.196586407,10235916.949402569,3340761.223851135,5373806.853823815,7525136.2108231215,143868634.2808567,112340377.54788156
kmer_V2a,647482.2687200336,5428248.587570622,10343946.346629016,3235404.3620613604,4622837.806926905,7193028.964162985,145064105.73733974,93859680.02818573
af_shell1,17326592.29208925,43581683.67346939,185695869.5652174,12918755.009754842,12886228.104978437,28473366.666666668,173301075.26881722,183817731.87002367
Hook_1498,10539095.77864491,48308473.17073171,153936326.42487046,8241868.600422223,26270159.072621647,46421423.4375,375454454.694806,380552209.5555272
Geo_1438,11341185.226019846,49934247.57281554,143531930.23255813,8232764.462324857,33031057.968237724,50589122.95081967,393112929.93630576,413830830.09253055
Serena,9859517.80137414,49638641.50943396,136667428.57142857,5339131.1994967,31163184.80642805,49952810.12658228,410695668.0109276,476099773.78977525
audikw_1,15980865.0,43833229.71428572,74618824.90272373,4547570.835561426,65153116.48512935,9588519.0,553449870.1298702,570320832.7137547
channel-500x100x100-b050,8332950.409996095,38521093.86281589,230710118.9189189,16144009.92514534,30274126.66775427,37838095.74468085,381936214.7651007,348106777.5874725
Long_Coup_dt0,14054307.28824688,60550806.22347949,150208491.22807017,6862947.596573128,48728078.61251148,65962126.348228045,534249594.4090852,615254670.8824375
dielFilterV3clx,5350329.597890574,17069295.47844374,29730586.08058608,2375759.580372092,19902454.933222827,23356690.64748201,210352468.57587144,235225329.66236776
dielFilterV3real,14535793.6717205,46373920.08412198,80772157.50915751,6454471.718437167,54071057.33899118,63455536.69064748,571486302.9674743,639060976.6700478
ML_Geer,14521504.248539563,86394921.01105845,387858049.6453901,18446691.85232658,57131081.435422994,81868241.01796407,644373571.3444091,651590432.5032765
Flan_1565,10722070.529433545,76412434.03693931,199039948.45360824,13881416.07130446,81210723.56964388,78271114.86486487,671777139.874739,702579148.4716158
Bump_2911,8296894.442967296,66890932.47588424,175306853.93258426,10785075.251052858,43784589.26454184,64739875.5186722,287269228.9988493,621234720.2866813
Cube_Coup_dt0,9435661.334138244,67516946.00431965,181219397.10144928,13199403.79552551,53381738.38797814,72952966.16102684,660267103.178794,773962515.4741273
Cube_Coup_dt6,10320351.931330472,69390335.18312986,182809040.9356725,13309297.671963075,53759505.40426666,77858894.14694895,606702493.934983,799804170.3978509
HV15R,10492281.82758175,69861260.32702237,205515910.12658224,9551231.80732531,178707716.7094657,3125988.081943856,1226728893.086513,1314423324.1580312
Queen_4147,9220954.937081965,81501045.59118237,192061495.8677686,16959735.505999856,98943567.11452256,97178068.69773,1071153532.6265883,1303076634.0916374
nlpkkt120,7206008.032128514,43804409.38967136,70684387.87878788,6855573.238813625,31916053.909831017,43036619.92619927,384122651.29682994,303504625.59365034
nlpkkt160,6061513.703135277,46096813.67236348,71809257.14285715,10352754.118680151,52033245.1889145,52187945.25719679,517653213.49997663,284078956.0213728
nlpkkt200,7003885.210285678,50536456.71502106,69765121.44702843,10697744.780961344,55679014.24244377,60502189.3557423,593941637.7935433,421449397.0731707
road_usa,1430626.8035103376,12315113.95646607,20065585.53546593,9492674.132463057,5432350.886837602,12123660.50420168,173486724.38672438,118357241.8885106
europe_osm,1479773.878288483,12171731.591983788,31759494.712103408,17841882.725727394,6010694.889848639,11929962.48068859,235912626.02016324,14127800.48717761
circuit5M,751432.0802005013,546023.3108723365,38390.24306963444,519365.8114930211,7746677.996951158,7290982.437179141,9244458.071964728,26437463.62683336
vas_stokes_2M,5441955.993247045,39632605.73770492,42638253.08641976,3081220.730276612,51651040.88774564,54882836.54937571,466625931.28739625,435209531.9531953
vas_stokes_4M,7188149.856543809,38197232.60359656,50652421.46189736,5235803.395312623,57920223.48024541,63861778.43137255,455411423.9105104,628310211.5619575
stokes,6038747.05648276,40839213.7090391,51824289.47368421,6834684.376316368,56499392.91603976,73877810.13745704,335598544.33343786,845341480.4377744
dblp-2010,2177088.948787062,2864184.397163121,6461600.0,316500.5858219337,1010136.3815431576,830967.0781893004,8569761.27320955,15981400.870597549
amazon-2008,2176326.1272390364,5420726.153846154,13763562.5,565563.5134397642,3772829.628646107,5628549.520766773,45552320.62055592,46270151.017728165
soc-Pokec,663255.4349442379,3074860.609403006,2051887.3861440795,180146.88028428063,15911335.292942552,14828433.510638298,120232702.5715672,81932270.38941954
com-LiveJournal,786421.5192743764,3740825.0458418727,1303657.0687516446,233932.77563728983,9757557.486867985,17721609.09555442,103009353.09492694,102631359.4933712
soc-LiveJournal1,771135.6511724163,3625929.6835335926,1235333.1699723247,101534.265225909,7791289.82579653,18257876.864081807,109756767.07135904,112647836.48790748
hollywood-2009,2241668.098135114,4857462.605548854,3860028.141047586,774864.2166376195,19733038.026966102,30672312.840043526,226727170.72189823,182575655.80672324
com-Orkut,1057455.314118645,4455876.002889844,1648404.5998030666,143982.3599157129,1722833.7312625332,16170150.821029391,184992080.0050516,128745106.07442236
ljournal-2008,747656.0716334974,3251101.1818778724,2104840.6308450946,48596.9930370275,8812014.87822458,25535982.980918,126311915.81632651,125419263.40586132
wb-edu,3290357.6003415883,10110672.425103871,2166437.3067191453,51262.438341857465,12877236.78676964,29152651.32408575,19043425.881306294,198489332.0168284
uk-2002,5812199.063075864,29833305.754985757,3996813.050580931,0.0,65056637.317687176,73763668.07551423,475138860.555022,521800394.65816224
